1,2,3,4,5,6,7,8,9,10
3.228783043,2.797738866,4.822624796,2.230582448,3.564510636,4.840942636,3.909016933,1.999208931,4.174019068,1.999208931
0.829889575,0.445102187,2.740965735,1.666366647,1.607909129,2.400477519,2.870293658,4.744983462,2.219016871,0.445102187
5.632410191,5.61511979,5.53895481,4.352774119,3.361816139,1.369550275,1.76447407,2.314835473,2.771354117,1.369550275
0.229143314,4.766364327,7.879952249,7.828158569,7.512571146,8.873155841,6.751416771,,,0.229143314
0.760308964,0.744518056,0.432234283,0.695742145,0.48293435,0.297168372,1.295876084,9.277676783,9.632139693,0.297168372
0.404643469,0.529870385,0.416368556,0.265239336,0.14466334,0.636832595,12.1824268,,,0.14466334
0.783978249,0.462437026,0.505104458,0.164412011,0.657826632,1.324561811,1.182898336,1.418325948,,0.164412011
0.533445195,0.515274642,0.541628745,0.530898859,1.28507891,1.372676769,1.246077094,1.645099883,0.69597069,0.515274642
0.905741693,0.960071451,1.097666548,1.111800808,0.408209242,0.408712372,0.677840533,1.720556523,1.629686722,0.408209242
0.816987112,3.269501052,4.335838738,3.341548908,3.614629377,1.927425316,1.517544942,1.948001293,0.840780146,0.816987112
1.885628644,1.919202202,1.646008128,2.625917335,2.368834496,1.756658727,2.98191078,3.736089334,1.359721427,1.359721427
2.716342666,2.016627157,2.070427936,1.876692451,4.071156006,3.474450127,2.899670367,2.889707131,2.65486133,1.876692451
1.188876819,0.383681322,0.405833274,1.119241853,0.969925485,1.124777564,0.835135655,0.760163934,2.777215699,0.383681322
3.026443504,0.937453783,0.933887599,2.797148797,2.306859127,1.68603317,1.923569998,3.932169144,4.403317442,0.933887599
2.300292771,1.934766741,1.501527219,1.264327309,3.271868603,1.336722205,1.32442193,3.320831722,1.343883085,1.264327309
1.445144217,2.196028012,1.37158792,3.379716242,3.290955338,3.488224439,1.031819032,2.814835095,2.056945568,1.031819032
1.414836372,1.611573562,3.140690016,1.582959591,3.474736951,1.983612824,2.288865064,3.373266996,4.900282456,1.414836372
0.395605373,0.604039002,0.34781179,,,,,,,0.34781179
0.93397035,0.4760731,0.761156701,1.841719075,1.148718235,3.689973088,2.172117286,0.74268424,2.353525218,0.4760731
0.91569595,9.631748848,0.769856946,4.003385012,2.728004985,4.190065807,6.861128516,1.895100261,1.735684016,0.769856946
7.889014765,7.043491265,5.472767797,6.035810895,5.296635749,6.920939042,8.60614258,6.722148276,3.039883937,3.039883937
7.969204946,6.660696392,6.68093606,6.544622898,2.729428962,3.803303413,7.418272535,4.189027966,3.63981118,2.729428962
1.931390805,1.665830369,1.405240374,1.676877945,2.24591991,2.160605297,1.56097081,4.661997427,4.78598685,1.405240374
0.792645108,0.298948135,3.935994653,2.479829269,2.134980197,5.57043722,7.856137061,5.919270897,3.948320674,0.298948135
0.41189747,0.599222096,0.878813136,1.017734527,3.139653527,1.722904087,2.805537925,3.470128413,2.71073234,0.41189747
0.420559054,,,,,,,,,0.420559054
0.969631416,0.499614097,3.344233631,2.778652033,3.620347789,3.999516437,1.729661877,,,0.499614097
0.221943687,,,,,,,,,0.221943687
