Ligand,Distance1,Distance2,Distance3,Distance4,Distance5,Distance6,Distance7,Distance8,Distance9,Ellipsis
1a3e,14.546094203584008,12.731569253775364,12.741350575261798,12.549026914878494,9.378073006116232,7.90859137057805,11.689728471070502,6.269604985659536,7.794300637254637,
1a42,4.4532831966499975,0.95902479044895,7.274277489238006,2.1095339181295785,7.565408733720925,4.817686738782782,7.113233252002305,7.721582621232627,8.145686187499331,
1a46,2.0947794332452685,1.2991852316173518,7.869376289051388,9.46143387412678,8.634021871139533,9.204967997242749,10.512171482118893,8.155485338908893,9.166209268285336,
1a4g,0.4163454303715899,4.411805079852089,5.23258666290226,4.823043646774892,5.065912499930938,2.923624298634353,5.984271556701603,5.655006545454253,5.12971888135589,
1a4h,0.5402992374601319,,,,,,,,,
1a4k,2.2846114686267,1.7251769225773768,7.871646972992333,9.06818751038753,8.647137513222548,5.203993277375341,4.935480828195352,,,
1a4m,0.5024451905170199,,,,,,,,,
1a4q,0.240110123544534,1.4056219206915392,2.118878286466011,2.896775228471431,4.781816278659933,5.41795863649638,2.219818941538765,,,
1a4r,0.880222712686154,1.8501357333411288,8.07325042800075,6.220772502384937,6.0650284436972886,8.516169659850437,3.433776699256541,6.521710766465235,7.602979886272975,
1a4w,0.7113138751968916,2.2924241473144704,3.118231317322904,7.4555621546377475,2.4764893685657223,6.721385947658485,7.694776986232749,6.026365694042583,6.886776732554034,
1a50,0.5885646617926631,2.162723663064189,0.9539088338690096,2.1739527561819534,2.3241219946704845,6.189137229632433,,,,
1a5g,2.6237086821992297,1.825179002767361,1.447433096405989,8.867948637717209,8.466538148569962,9.988307027052514,10.246344708096778,10.439142181905924,7.19597953863657,
1a5h,1.4250192243064148,1.336522985212002,6.7097691868701,6.767456809588286,7.122104248093698,7.291577285912053,6.536876251095998,6.522698525615868,4.47674719842113,
1a5v,2.6298619202469946,6.017599569090073,4.822489255560865,5.757456711876385,9.34525072785753,9.023744270967905,7.12261903357124,8.90692228699239,6.37094927808353,
1a61,0.74906338108927,3.0465691704403786,7.218226706881992,6.606294901119352,7.510527991333972,6.851056697226428,5.052913906241515,7.282883800181384,9.824427008468342,
1a69,0.5385285190122,2.1491391318141173,2.553945802190468,,,,,,,
1a7c,0.4378343362505961,2.0779639286708376,4.539408737238175,5.308413667350566,,,,,,
1a7t,0.9710618080225388,0.9060568787333378,5.640754039502756,1.6564957865425831,7.72684996764529,6.389789528484747,5.80210529427322,3.290207916049277,7.502777749218396,
1a7x,3.1063905664041624,3.14580217518094,0.6781653102744947,3.0417672224665124,3.672497061539318,2.4620111941862706,,,,
1a85,1.9022492183127384,5.993500815436906,6.576773719689617,3.16893627268791,3.962592420778888,1.762746715964281,5.792451516598378,4.95954100360392,5.305324094886731,
1a86,1.9402329190074064,2.5694219024116287,6.930305696827628,1.711914301030888,4.45485560463503,7.02531209102459,7.383810835474733,2.5634650154010648,3.5792893987494234,
1a8i,0.6743195507106314,,,,,,,,,
1a8t,7.996421638237358,8.894348448957382,1.3306176525782842,5.942180769890699,8.702133041589828,5.496786909801461,5.855522472117291,6.353718803860415,7.216578633930756,
1a94,5.572135507609866,13.139647161212766,13.98730277200838,13.633382058670062,12.765461738920116,14.647307174614042,5.653705866789204,13.07287045746521,12.87223547281124,
1a99,0.328686646620559,0.4948052697779204,10.30466287520687,10.280627498925668,15.565957916931,13.289352078951534,11.85722039602875,12.208802256091031,10.76524322863476,
1a9m,1.4621677134928652,10.469462174161118,10.26227290738822,10.404385187014269,9.951715769248274,9.530128159933732,4.485932478261773,9.926248054347049,1.6608750264042549,
1a9q,2.392979021638093,3.473150979442155,2.6488458465905484,2.723659783636716,0.4927091231142371,7.24212853848922,6.4779803217515255,4.0685275348705705,3.269282801624847,
1a9u,0.4250577969414756,4.287780697992153,6.830094499915632,7.378424816414509,2.0820801372132096,4.780862787390143,7.863197643429142,8.684752031855304,8.7667640625346,
1aaq,2.008945960253663,11.711733442827908,1.1423777464611942,4.696159233391246,3.442857501850575,3.3612927990182158,4.488274111477161,11.26169249572606,4.097582924650854,
1abf,0.2252875253779252,2.738232091896323,3.1207738812964023,,,,,,,
1abt,3.656043579314415,3.762783231373778,6.793545859813166,3.6857949695053263,7.457330280004831,7.137254743656427,2.0595656324350755,7.040180704914197,6.950200165130831,
1acj,0.1939605114449853,0.3143847854673221,2.9745862990786907,2.566271958308393,2.536167655735716,1.6078111817001417,3.0823775798345454,,,
