Ligand,Distance1,Distance2,Distance3,Distance4,Distance5,Distance6,Distance7,Distance8,Distance9,Ellipsis
10gs,26.49308767259067,27.39201514388321,27.274245314148725,26.15742100811465,27.83826081825428,29.102105109351758,27.340583034676868,27.02960102978573,28.068112385415287,
11gs,27.33142112003166,23.669926069154307,5.7097794753994044,26.628352701820745,23.460639032900428,22.879255957755984,21.80505036049782,9.321107379463408,24.53331683501919,
13gs,29.604739982560226,6.02263797689304,30.15921125720016,29.58699406826177,30.259069575070026,6.138339786771105,34.995363083450066,5.330665033189708,33.5864737009984,
16pk,12.701326356673068,12.362168614966864,11.38829959593032,18.745436578811827,12.034967277447445,12.464039366462142,18.77961313861117,28.17579575431676,12.954094559250368,
184l,9.708158494173857,10.31838791968009,10.102324754382032,17.190003530511564,15.74236444296091,15.381384809405168,22.443304298587584,10.344650554078662,12.249853499205612,
185l,20.8394585943216,12.38246878247181,13.264021728805416,13.53612230510972,12.849765156522423,21.11802906223337,12.737443634855117,32.161778330652055,17.943074407166435,
186l,22.52554529772809,32.066376029713744,12.188752912870129,16.902714070290607,21.249616890993583,15.549904831573729,14.329242186696408,13.556426270407698,13.053627889019973,
187l,0.6998817292943142,0.5931170426231236,1.058080321265829,21.512726481230825,21.54944097346263,21.358293302075893,15.214254085396366,14.85742226674937,32.17973257966496,
188l,0.9093305614571626,0.9388587393745657,2.7559333135527795,2.755734891548896,1.6715400791635242,9.47778570052098,9.5206111329578,21.30955583954649,21.300714360468056,
1a07,24.74292678408019,33.06024286231567,48.04599529610693,23.542576672544723,26.19978324665616,27.998138552132563,47.13063455343781,27.94801555391303,22.48511346743074,
1a08,3.743782429315141,3.5548880833469214,23.535456619736788,24.31965767583409,25.672705917070573,24.64829606182179,22.39814959752637,23.590533628493297,18.90546652117886,
1a09,16.933212508580045,16.72746177166276,17.00891373640419,17.18540293834191,16.228796502175516,18.373386500263056,7.103235837244332,18.323975468661203,23.78472499202161,
1a0q,22.45672438201974,28.43044294730562,26.78399900068501,17.54133831522357,16.88430941508559,6.209883925261195,23.005739099208917,27.78031861551565,24.269654172058253,
1a0t,31.88109400868224,2.856833565406775,22.024455624748636,31.82338139407264,31.60035654590405,21.52446095313524,21.39343804254005,31.526321530856663,6.557347441643975,
1a1b,25.879373259278847,24.42774042777323,24.492037722524,23.826806371772708,24.274459396325305,24.186798631082056,23.706576613300957,24.77931156316412,22.574303745000385,
1a1c,22.90251770828747,22.795635644079585,23.624698887738568,22.82388304324753,23.78437921790377,22.112679543860654,24.129960216802544,23.49912835159502,23.60573407072728,
1a1e,25.016684485232734,30.75781288756266,23.372687972300625,23.855163426549154,23.820647031155445,23.509859829615277,24.82794895886913,22.090070116391782,25.74042507656718,
1a28,19.86569998588347,20.04824580403808,24.71448245518862,21.45963869602452,20.76908800019876,31.624481932006827,25.15428621135191,19.018554899566528,17.113706598538773,
1a2c,26.024535962174458,25.804543132791427,24.801890036962533,36.67728186624268,24.01079357615053,25.40984893261153,24.434112521570004,23.691527949886066,25.34941618918586,
1a30,11.419257961275498,12.146262700660706,12.108058258004492,7.035962654900454,12.080874714351031,10.73668245711868,11.803584535102363,13.215056035548706,11.532066727741256,
1a37,22.24919880023933,22.361403476602906,21.451535699185467,22.888858468427696,20.85548544549919,20.309644662875957,22.32350170209478,22.79968394605504,23.705764391562777,
1a3e,26.766324424794178,28.037966179993507,28.79443621283559,26.580951418110565,26.22638382277988,28.12163036777632,28.40111499292958,27.800921371877003,24.890891603138595,
1a42,4.488321231141221,0.8657382393832648,7.2874602609402,19.67298464155748,7.430182818805306,4.637258680701253,16.02593217564148,18.310243979093045,16.87895604223354,
1a46,11.4205884535573,23.422132187780047,11.543897726071554,11.236567301730355,12.134963482379508,10.459194637658342,8.867968996648912,11.188921992851022,23.19165590087249,
1a4g,45.9088054431448,45.66002155225262,45.41663106626872,45.338909292403386,46.36295940973457,32.167697381406384,60.53748499894418,46.16450364632229,46.03831284651381,
1a4h,16.219998945175675,28.276917695485302,34.38699014450451,33.292759836197874,25.685402508394723,29.38468958282101,33.90696566382415,54.750897502107215,50.7847904325104,
1a4k,60.159867919984656,59.70321088193855,62.32837694666439,93.93108063148937,72.63742294362436,54.02667658196512,89.31368737315326,,,
1a4m,25.31487319823332,19.444592163591945,22.58933470019355,23.812557263818423,14.006019279336934,22.6959528909428,20.185312956519443,24.942305887345192,25.429160699201013,
1a4q,4.856830574929645,32.42119009092334,51.06505449664533,5.124357923681756,67.15206499128355,5.91441839239981,7.22566434886786,51.278220811164765,58.35714390739639,
1a4r,20.264292925717537,12.703828843431976,11.089292151907491,12.806013566150416,37.06346725078966,35.78352469062604,37.30736295464533,9.621352009908556,7.740483416981877,
1a4w,6.1433821724604405,5.603143777061996,6.170611424497807,9.926192956852423,10.543931791692184,27.68981565980618,20.436944762371848,9.673536216682924,9.197510915653837,
1a50,36.11849266758419,48.83871397419606,49.426673941956125,49.61016466848749,21.346759741534022,14.472289536847075,74.92532077499271,73.95577494413281,47.22838595979352,
1a5g,8.741351734238057,31.075450825485103,9.170103540867906,11.455836072375636,11.475251714782514,30.30941659606089,25.53082454828355,12.019343068541048,30.25585500500373,
1a5h,21.72776185673198,31.03150240989561,29.01371298932873,30.420274322921312,31.04586153936509,30.903305949635644,28.482181980475595,28.96963664064621,25.57283997674234,
1a5v,31.5689376146388,30.95824342589477,31.984706582140973,31.21929420483847,31.027335867046684,31.189584298705984,32.580719482580626,33.14194810817226,32.13710552366424,
1a61,6.741611734119009,5.000793502146545,33.386243161355644,11.74769402339124,10.404272096435514,23.554226171544627,32.53569893665094,32.24369490004123,7.765729715247485,
1a69,45.408379606023566,31.74249067482028,33.462377349904,35.28163298093008,31.0792115486254,23.15531816358484,50.57128924413744,28.776652833165404,24.93071044204844,
1a7c,26.639659379375384,24.4745236314359,17.93708833777497,33.8594814372535,20.210122808342497,26.763965142973227,22.892624598035315,31.438917717845005,35.47141752096025,
1a7t,30.0453598051485,47.00708099791101,45.83181011545548,34.91746636518988,45.58727847185915,45.99316747890386,31.443892026618887,32.35046018312568,31.266418800554483,
1a7x,3.112724784714051,0.5235433063100793,2.9986347319524667,,,,,,,
1a85,6.502039467983433,2.2016105094582783,4.988496467051541,4.59053720331292,6.607004807237326,5.920371330384849,6.343539052875543,19.578115737065417,21.804557863945394,
1a86,1.8295178002636332,4.283566609341644,2.407738638839972,4.542236878169985,3.205190580281604,5.171224828656991,6.493649983837486,6.15853242552934,4.380410719243032,
1a8i,0.6661114488979605,,,,,,,,,
1a8t,5.233800843864361,5.398794294480727,5.734819497928731,15.91638483005891,16.74303037393031,14.128845236794623,13.0752997406313,14.45680252390874,14.079128136045089,
1a94,13.174992509915644,5.5125470983173175,13.401094766784292,13.738729660937846,12.867792467461802,12.538104048619152,13.213504128504294,5.9878513246684175,13.783541830633856,
1a99,24.943749250363314,25.757183311909973,25.59576731613387,46.51756840202063,46.58421964794874,16.633573136280734,12.56292249876596,11.297796127342712,11.600713500973407,
1a9m,17.438279273544822,16.11798159671809,17.001708311176657,15.214918134937736,20.96319375407083,15.27263524302301,16.660408147097034,16.72419222027522,19.495206763989817,
1a9q,3.4581888062973083,30.51437530150339,30.721818896526937,7.241237565430373,31.126983187533607,2.9527209493956588,32.816522664932066,14.37828653772765,30.510102420526223,
1a9u,0.4760044269168563,6.807835883635748,4.319254341597333,7.420286952971862,17.382288950740552,8.792608390932482,7.985630726289982,8.619893173394944,9.079722126621864,
1aaq,1.0962621422972456,3.661297481168357,4.1915802949804375,12.666211908940854,12.650626237579184,9.295615404114969,9.421687982159604,12.257211461779573,12.933364327988592,
1abf,10.770009728070224,11.03810613494741,11.803540261332998,11.539938415149992,15.415773195600078,11.276528123778329,11.141270287253436,11.062548075951003,23.26634438106214,
1abt,3.713054161406545,2.164008479508483,7.0166054219971645,12.837444919165783,13.252184996990554,13.565929215433563,21.18164639845253,10.695195312302983,3.2559130487114105,
1acj,24.74756978021613,24.702624435324005,22.198592132655623,22.76025688787365,28.28254281070451,28.18960755602438,23.79522782699646,27.74914644809818,28.15198644407413,
1ad8,8.15373297143707,4.8934675672011965,5.849069934741762,9.322470595207044,5.234901435414042,7.830972388439382,6.112689942161307,7.2508192703652465,9.696834098482864,
1add,19.61330296077264,21.62315891671169,21.426304543591662,22.33779299198181,25.052799069932703,25.96318658658833,24.30919853366103,24.788683347468307,20.6349331260952,
1adl,30.2269321382965,3.528550920059754,30.319358940827343,29.787119579465276,30.16304848201913,30.496185746380277,29.760427165670556,8.278290017405329,29.55247361990193,
1ado,25.690088626569587,54.22884254429556,58.06479919458088,25.602869337087984,60.644523868895206,25.383560017263143,57.2651460768852,56.814453978904,58.44425489615725,
1af2,36.712054426024864,27.47414577367131,27.034865538487843,24.685689278501137,23.94112852207657,23.94660998664222,37.89231181901431,24.871297923202675,14.04122710813955,
1af6,33.2266673970459,4.721628624974004,30.864749838955515,1.919081459063617,33.14752758745823,31.33356594114786,34.08477843660728,33.5561200641293,32.47920798812814,
1afk,0.8284665513913,6.214596406691629,1.855551230940596,7.827947454926917,8.717321362370363,5.362130771197152,2.914781394945868,4.956136450678285,5.554001453413218,
1afl,11.078313457279584,12.138044576587523,10.84432705468773,16.40678304471817,10.834526741394845,11.098494754433752,10.957807342079391,10.170274827082457,18.85615749109644,
1ag9,21.93023614466213,20.264743144277656,20.81338534815144,21.26247031622589,29.350288338705656,21.6455167473246,21.460511931632524,21.886563588811672,28.84502734514106,
1agm,32.79502989652686,42.496319467604806,36.02335878261682,38.41248274627308,32.46780147301183,39.00001805112053,22.895106248502696,36.97524188699232,31.46333331754816,
1agw,0.8390244156161367,9.79334920917252,10.378833021799704,11.467807880270756,10.77366369369306,3.430919810313264,24.38045359565732,18.232308903230003,10.053543897372707,
1aht,27.41385177217289,27.064268736521715,14.159835970518866,13.290218822101211,30.05564728923113,13.008223718889012,29.48498296498292,27.06487762370264,26.324404707938477,
1ahx,28.42036789760918,29.185888594116538,29.67632046604896,37.43046787573412,38.07159941367652,20.10024025012456,42.05432969068378,19.4157302250942,30.39331854214912,
1ahy,21.63807001574424,22.11752633673689,24.91792242992481,22.521101130190104,23.908378373203192,39.69551104676384,19.15866198152941,39.87105888365332,32.75774784663546,
1ai4,29.78841359790749,29.330126697263005,23.505965574845742,19.744782903022763,17.91904733770279,18.29737934313728,17.789335774816514,17.194610446808614,19.60930322228032,
1ai5,31.70320474055483,13.628604926065222,13.247828223843392,26.191097478444554,29.60479299545677,12.422103793331775,34.01778964177873,23.86674219299574,31.313255311842223,
1ai6,32.45634863853856,23.54349508432116,23.32351185930003,30.4792219440034,30.797905944117808,30.80201889228869,24.09981665675262,24.450514968661235,28.310452838146357,
1ai7,19.54801285184032,28.49763065702631,28.34294798857129,30.84247086831496,30.27742885248255,28.151195608864843,30.3393707770707,28.95579589013965,28.24742332828152,
1aid,10.284819835831703,10.543753159033107,3.213402247323458,9.95643335255116,10.395956946564736,0.7646837565858237,10.204213401944012,10.0988360559778,9.819797454333663,
1aj6,27.963509016500577,8.477101295575896,8.230089236399014,10.508906682255944,11.879873722450236,10.96629536755276,12.316585543005894,7.357842086323457,30.51342732790316,
1aj7,5.429036714556276,4.74330599787743,22.50575948952845,24.108268755138763,22.90430583559563,30.62617313728569,22.53947637445245,22.54864009296348,30.469387511952053,
1ajn,31.031014848658952,26.736744033388263,29.375719657030725,19.294410320528662,37.322210665397456,27.958431903411395,32.46467205011531,17.02040396422437,27.48912934029909,
1ajp,30.916153995780807,31.009731544952142,26.878327263940736,30.9746062319604,29.582304788307717,26.74562384426968,31.185128735811997,27.78484660367949,26.495370822670765,
1ajq,30.46331080212173,22.62388257468937,26.244631201130137,30.158759246435263,30.70356084745438,13.931820620675056,32.57978776980531,19.031383189966338,34.65023213409496,
1ajv,20.396245329770757,12.367087574451244,11.059859370792529,20.576144399635083,12.426198223010967,26.682246167054007,21.025851862055955,20.102060385546213,26.77154100771117,
1ajx,21.685864861125552,23.15958264311989,22.71057267082889,27.114368293632623,22.624952542049677,21.970432899621024,23.660163665848764,21.626459012266665,13.993123191982551,
